Minolta AF 28-105 mm f/ 3.5-4.5 ,28, 105,3.5, 4.5,22,22,0.5
Canon EF 300 mm f/ 4 L IS USM ,300,300,4.0,4.0,32,32,1.5
Canon EF 300 mm f/ 2.8 L IS USM ,300,300,2.8,2.8,32,32,2.5
Canon EF 100-400 mm f/ 4.5-5.6 L IS USM ,100, 400,4.5, 5.6,32,32,1.8
Canon EF 55-200 mm f/ 4.5-5.6 II USM ,55, 200,4.5, 5.6,22,22,1.2
Canon EF 400 mm f/ 5.6 L USM ,400,400,5.6,5.6,32,32,3.5
Tokina AT-X 107 DX AF 10-17 mm f/ 3.5-4.5 Fish-Eye ,10, 17,3.5, 4.5,22,22,0.14
Canon EF 300 mm f/ 2.8 L IS II USM ,300,300,2.8,2.8,32,32,2
Canon EF 400 mm f/ 2.8 L IS II USM ,400,400,2.8,2.8,32,32,2.7
Tokina AT-X M100 PRO D AF 100 mm f/ 2.8 Macro ,100,100,2.8,2.8,32,32,0.3
Tamron SP AF 90 mm f/ 2.8 Di Macro ,90,90,2.8,2.8,32,32,0.29
Tamron SP AF 180 mm f/ 3.5 Di LD IF Macro ,180,180,3.5,3.5,32,32,0.47
Sigma AF 150 mm f/ 2.8 EX APO DG HSM Macro ,150,150,2.8,2.8,22,22,0.38
Sigma AF 180 mm f/ 3.5 APO MACRO EX DG HSM ,180,180,3.5,3.5,32,32,0.46
Sigma AF 105 mm f/ 2.8 EX DG MACRO ,105,105,2.8,2.8,45,45,0.31
MC Peleng 8 mm f/ 3.5 A ,8,8,3.5,3.5,16,16,0.22
MC Peleng 17 mm f/ 2.8 A ,17,17,2.8,2.8,16,16,0.3
Sigma AF 70 mm f/ 2.8 EX DG Macro ,70,70,2.8,2.8,22,22,0.257
Sigma AF 50 mm f/ 2.8 EX DG Macro ,50,50,2.8,2.8,45,45,0.188
Tamron SP AF 60 mm f/ 2 Di II LD (IF) Macro ,60,60,2.0,2.0,22,22,0.23
Tokina AT-X M35 PRO DX AF 35 mm f/ 2.8 Macro ,35,35,2.8,2.8,22,22,0.14
Tokina AT-X 535 PRO DX AF 50-135 mm f/ 2.8 (IF) ,50, 135,2.8,2.8,32,32,1
Tokina AT-X 124 PRO DX AF 12-24 mm f/ 4 ,12, 24,4.0,4.0,22,22,0.3
MC Volna-9 50 mm f/ 2.8 ,50,50,2.8,2.8,16,16,0.24
Tokina AT-X 840 D AF 80-400 mm f/ 4.5-5.6 ,80, 400,4.5, 5.6,32,32,2.5
Tokina AT-X 16.5-135 mm DX f/ 3.5-5.6 ,16, 135,3.5, 5.6,22,22,0.5
Cosmicar 70-200 mm f/ 4 MC Zoom ,70, 200,4.0,4.0,4.0,4.0,0.7
Sigma AF 85 mm f/ 1.4 EX DG HSM ,85,85,1.4,1.4,16,16,0.85
Sigma AF 8-16 mm f/ 4.5-5.6 DC HSM ,8, 16,4.5, 5.6,22,22,0.24
Vega-1 52 mm f/ 2.8 ,52,52,2.8,2.8,16,16,0.5
Jupiter-3 50 mm f/ 1.5 ,50,50,1.5,1.5,22,22,0.9
Sigma DC 17-70 mm F 2.8-4 Macro OS HSM ,17, 70,2.8, 4.0,22,22,0.22
Sigma DC 17-50 mm f/ 2.8 EX OS HSM ,17, 50,2.8,2.8,22,22,0.28
Sigma 28 mm f/ 1.8 EX DG ASP Macro ,28,28,1.8,1.8,22,22,0.20
Sigma 24 mm f/ 1.8 EX DG ASP Macro ,24,24,1.8,1.8,22,22,0.18
Sigma DC 10-20 mm f/ 3.5 EX HSM ,10, 20,3.5,3.5,22,22,0.24
Sigma DC 10-20 mm f/ 4-5.6 EX HSM ,10, 20,4.0, 5.6,22,22,0.24
Carl Zeiss Jena Sonnar T 50 mm f/ 1.5 ,50,50,1.5,1.5,22,22,1
Carl Zeiss Jena Sonnar T 85 mm f/ 2 ,85,85,2.0,2.0,22,22,1
Tamron SP AF 17-50 mm f/ 2.8 Di II VC XR LD Aspherical (IF) ,17, 50,2.8,2.8,32,32,0.29
Tamron AF 18-200 mm f/ 3.5-6.3 Di II XR LD Aspherical (IF) Macro ,18, 200,3.5, 6.3,22,22,0.45
Nikon AF-S Nikkor 85 mm f/ 1.4 G ,85,85,1.4,1.4,16,16,0.85
Tamron AF 55-200 mm f/ 4-5.6 Di II LD Macro ,55, 200,4.0, 5.6,32,32,0.95
Tamron SP 70-300 mm f/ 4-5.6 Di VC USD A005 ,70, 300,4.0, 5.6,32,32,1.5
Sigma 18-125 mm f/ 3.8-5.6 DC OS HSM ,18, 125,3.8, 5.6,22,22,0.35
Sigma 18-200 mm f/ 3.5-6.3 DC OS (HSM) ,18, 200,3.5, 6.3,22,22,0.45
Sigma 50-150 mm f/ 2.8 EX DC APO HSM II ,50, 150,2.8,2.8,22,22,1
Sigma AF 100-300 mm f/ 4 EX DG HSM APO ,100, 300,4.0,4.0,32,32,1.8
Sigma AF 4.5mm F2.8 EX DC Circular Fisheye HSM ,4.5,4.5,2.8,2.8,22,22,0.135
Sigma AF 10mm F2.8 EX DC Fisheye HSM ,10,10,2.8,2.8,22,22,0.135
Sigma AF 8mm F3.5 EX DG Circular Fisheye ,8,8,3.5,3.5,22,22,0.135
Sigma AF 15mm F2.8 EX DG Diagonal Fisheye ,15,15,2.8,2.8,22,22,0.15
Tamron AF 28-200 mm f/ 3.8-5.6 XR Di Aspherical (IF) Macro ,28, 200,3.8, 5.6,22,22,0.49
Tamron AF 28-300 mm f/ 3.5-6.3 XR Di LD Aspherical (IF) Macro A06 ,28, 300,3.5, 6.3,22,22,0.49
Tamron AF 28-300 mm f/ 3.5-6.3 Di XR VC LD Aspherical (IF) Macro ,28, 300,3.5, 6.3,22,22,0.49
Tamron AF 70-300 mm f/ 4-5.6 Di LD Macro ,70, 300,4.0, 5.6,32,32,0.95
