Sigma 24-70 mm f/ 2.8 EX DG Macro ,Sony A (FF)
Sigma 24-70 mm f/ 2.8 EX DG Macro ,Sony A (APS-C)
Sigma 24-70 mm f/ 2.8 EX DG Macro ,Nikon F (FX)
Sigma 24-70 mm f/ 2.8 EX DG Macro ,Nikon F (DX)
Sigma 24-70 mm f/ 2.8 EX DG Macro ,Pentax K
Sigma 24-70 mm f/ 2.8 EX DG Macro ,Sigma SA
Sigma AF 24-70 mm f/ 2.8 IF EX DG HSM ,Canon EF (FF)
Sigma AF 24-70 mm f/ 2.8 IF EX DG HSM ,Canon EF (APS-H)
Sigma AF 24-70 mm f/ 2.8 IF EX DG HSM ,Canon EF-S
Sigma AF 24-70 mm f/ 2.8 IF EX DG HSM ,Sony A (FF)
Sigma AF 24-70 mm f/ 2.8 IF EX DG HSM ,Sony A (APS-C)
Sigma AF 24-70 mm f/ 2.8 IF EX DG HSM ,Nikon F (FX)
Sigma AF 24-70 mm f/ 2.8 IF EX DG HSM ,Nikon F (DX)
Sigma AF 24-70 mm f/ 2.8 IF EX DG HSM ,Pentax K
Sigma AF 24-70 mm f/ 2.8 IF EX DG HSM ,Sigma SA
Sigma 18-250 mm f/ 3.5-6.3 DC OS HSM ,Canon EF (FF)
Sigma 18-250 mm f/ 3.5-6.3 DC OS HSM ,Canon EF (APS-H)
Sigma 18-250 mm f/ 3.5-6.3 DC OS HSM ,Canon EF-S
Sigma 18-250 mm f/ 3.5-6.3 DC OS HSM ,Sony A (FF)
Sigma 18-250 mm f/ 3.5-6.3 DC OS HSM ,Sony A (APS-C)
Sigma 18-250 mm f/ 3.5-6.3 DC OS HSM ,Nikon F (FX)
Sigma 18-250 mm f/ 3.5-6.3 DC OS HSM ,Nikon F (DX)
Sigma 18-250 mm f/ 3.5-6.3 DC OS HSM ,Pentax K
Sigma 18-250 mm f/ 3.5-6.3 DC OS HSM ,Sigma SA
Nikon AF-S Nikkor 35 mm f/ 1.8 G DX ,Nikon F (FX)
Nikon AF-S Nikkor 35 mm f/ 1.8 G DX ,Nikon F (DX)
Nikon AF Nikkor 35 mm f/ 2 D ,Nikon F (FX)
Nikon AF Nikkor 35 mm f/ 2 D ,Nikon F (DX)
Canon EF 135 mm f/ 2 L USM ,Canon EF (FF)
Canon EF 135 mm f/ 2 L USM ,Canon EF (APS-H)
Canon EF 135 mm f/ 2 L USM ,Canon EF-S
Canon EF 135 mm f/ 2.8 SoftFocus ,Canon EF (FF)
Canon EF 135 mm f/ 2.8 SoftFocus ,Canon EF (APS-H)
Canon EF 135 mm f/ 2.8 SoftFocus ,Canon EF-S
Nikon Nikkor 43-86 mm f/ 3.5 ,Nikon F (FX)
Nikon Nikkor 43-86 mm f/ 3.5 ,Nikon F (DX)
Helios-44M 58 mm f/ 2 ,M39
Helios-44M 58 mm f/ 2 ,M42
Helios-44M 58 mm f/ 2 ,Pentax K
Canon EF 28-135 mm f/ 3.5-5.6 IS USM ,Canon EF (FF)
Canon EF 28-135 mm f/ 3.5-5.6 IS USM ,Canon EF (APS-H)
Canon EF 28-135 mm f/ 3.5-5.6 IS USM ,Canon EF-S
Canon EF 8-15 mm f/ 4 L USM Fisheye ,Canon EF (FF)
Canon EF 8-15 mm f/ 4 L USM Fisheye ,Canon EF (APS-H)
Canon EF 8-15 mm f/ 4 L USM Fisheye ,Canon EF-S
Canon EF-S 55-250 mm f/ 4.0-5.6 IS ,Canon EF (FF)
Canon EF-S 55-250 mm f/ 4.0-5.6 IS ,Canon EF (APS-H)
Canon EF-S 55-250 mm f/ 4.0-5.6 IS ,Canon EF-S
Canon EF-S 18-135 mm f/ 3.5-5.6 IS ,Canon EF (FF)
Canon EF-S 18-135 mm f/ 3.5-5.6 IS ,Canon EF (APS-H)
Canon EF-S 18-135 mm f/ 3.5-5.6 IS ,Canon EF-S
Canon EF-S 17-85 mm f/ 4.0-5.6 IS USM ,Canon EF (FF)
Canon EF-S 17-85 mm f/ 4.0-5.6 IS USM ,Canon EF (APS-H)
Canon EF-S 17-85 mm f/ 4.0-5.6 IS USM ,Canon EF-S
Canon EF-S 15-85 mm f/ 3.5-5.6 IS USM ,Canon EF (FF)
Canon EF-S 15-85 mm f/ 3.5-5.6 IS USM ,Canon EF (APS-H)
Canon EF-S 15-85 mm f/ 3.5-5.6 IS USM ,Canon EF-S
Canon EF-S 18-200 mm f/ 3.5-5.6 IS ,Canon EF (FF)
Canon EF-S 18-200 mm f/ 3.5-5.6 IS ,Canon EF (APS-H)
Canon EF-S 18-200 mm f/ 3.5-5.6 IS ,Canon EF-S
Canon EF-S 17-55 mm f/ 2.8 IS USM ,Canon EF (FF)
Canon EF-S 17-55 mm f/ 2.8 IS USM ,Canon EF (APS-H)
Canon EF-S 17-55 mm f/ 2.8 IS USM ,Canon EF-S
Canon EF-S 18-55 mm f/ 3.5-5.6 IS ,Canon EF (FF)
Canon EF-S 18-55 mm f/ 3.5-5.6 IS ,Canon EF (APS-H)
Canon EF-S 18-55 mm f/ 3.5-5.6 IS ,Canon EF-S
Canon EF-S 18-55 mm f/ 3.5-5.6 II ,Canon EF (FF)
Canon EF-S 18-55 mm f/ 3.5-5.6 II ,Canon EF (APS-H)
Canon EF-S 18-55 mm f/ 3.5-5.6 II ,Canon EF-S
